Country,Group
Czech Republic,Europe & Central Asia
Greece,Europe & Central Asia
Israel,Middle East & North Africa
Japan,East Asia & Pacific
Italy,Europe & Central Asia
Benin,Sub-Saharan Africa
Ecuador,America
Tonga,East Asia & Pacific
Ethiopia,Sub-Saharan Africa
Canada,America
Kenya,Sub-Saharan Africa
Jordan,Middle East & North Africa
Peru,America
Togo,Sub-Saharan Africa
Afghanistan,South Asia
Bahrain,Middle East & North Africa
Solomon Islands,East Asia & Pacific
Antigua and Barbuda,America
Swaziland,Sub-Saharan Africa
India,South Asia
Ireland,Europe & Central Asia
Papua New Guinea,East Asia & Pacific
Hungary,Europe & Central Asia
Djibouti,Middle East & North Africa
South Korea,East Asia & Pacific
United States,America
Montenegro,Europe & Central Asia
Bulgaria,Europe & Central Asia
Iraq,Middle East & North Africa
Senegal,Sub-Saharan Africa
Iran,Middle East & North Africa
The Bahamas,America
Brunei,East Asia & Pacific
Egypt,Middle East & North Africa
Vanuatu,East Asia & Pacific
Cambodia,East Asia & Pacific
Bangladesh,South Asia
Malaysia,East Asia & Pacific
Bhutan,South Asia
Nepal,South Asia
Luxembourg,Europe & Central Asia
Belize,America
Poland,Europe & Central Asia
Madagascar,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Colombia,America
El Salvador,America
Barbados,America
New Zealand,East Asia & Pacific
Laos,East Asia & Pacific
Indonesia,East Asia & Pacific
Portugal,Europe & Central Asia
Malawi,Sub-Saharan Africa
Macedonia,Europe & Central Asia
Cape Verde,Sub-Saharan Africa
Netherlands,Europe & Central Asia
Maldives,South Asia
Grenada,America
Taiwan,East Asia & Pacific
Mozambique,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Morocco,Middle East & North Africa
Cuba,America
Guatemala,America
Libya,Middle East & North Africa
Kuwait,Middle East & North Africa
Nicaragua,America
Georgia,Europe & Central Asia
Slovakia,Europe & Central Asia
Kiribati,East Asia & Pacific
Spain,Europe & Central Asia
Armenia,Europe & Central Asia
Cameroon,Sub-Saharan Africa
Norway,Europe & Central Asia
Malta,Europe & Central Asia
Ghana,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Slovenia,Europe & Central Asia
Lebanon,Middle East & North Africa
Moldova,Europe & Central Asia
Singapore,East Asia & Pacific
Algeria,Middle East & North Africa
Azerbaijan,Europe & Central Asia
American Samoa,East Asia & Pacific
Pakistan,South Asia
Costa Rica,America
Sri Lanka,South Asia
Honduras,America
Bermuda,America
Dominica,America
Dominican Republic,America
Tanzania,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Romania,Europe & Central Asia
Angola,Sub-Saharan Africa
Philippines,East Asia & Pacific
Samoa,East Asia & Pacific
Seychelles,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Serbia,Europe & Central Asia
Australia,East Asia & Pacific
Eritrea,Sub-Saharan Africa
Greenland,Europe & Central Asia
North Korea,East Asia & Pacific
Central African Republic,Sub-Saharan Africa
Latvia,Europe & Central Asia
Mali,Sub-Saharan Africa
Oman,Middle East & North Africa
Uruguay,America
Marshall Islands,East Asia & Pacific
Myanmar,East Asia & Pacific
Panama,America
Bolivia,America
Kyrgyzstan,Europe & Central Asia
"Virgin Islands, U.S.",America
Nigeria,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Iceland,Europe & Central Asia
Russian Federation,Europe & Central Asia
United Arab Emirates,Middle East & North Africa
Switzerland,Europe & Central Asia
Venezuela,America
Belarus,Europe & Central Asia
The Gambia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Federated States of Micronesia,East Asia & Pacific
France,Europe & Central Asia
Palestine,Middle East & North Africa
Andorra,Europe & Central Asia
Thailand,East Asia & Pacific
Croatia,Europe & Central Asia
Northern Mariana Islands,East Asia & Pacific
Burundi,Sub-Saharan Africa
Mongolia,East Asia & Pacific
Qatar,Middle East & North Africa
United Kingdom,Europe & Central Asia
Saudi Arabia,Middle East & North Africa
Guinea,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Haiti,America
Ukraine,Europe & Central Asia
Uganda,Sub-Saharan Africa
Guyana,America
Trinidad and Tobago,America
Germany,Europe & Central Asia
Guinea-Bissau,Sub-Saharan Africa
Bosnia and Herzegovina,Europe & Central Asia
Somalia,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Austria,Europe & Central Asia
China,East Asia & Pacific
Congo,Sub-Saharan Africa
Mexico,America
Cyprus,Europe & Central Asia
Guam,East Asia & Pacific
Vietnam,East Asia & Pacific
Tajikistan,Europe & Central Asia
Argentina,America
Jamaica,America
Timor-Leste,East Asia & Pacific
Albania,Europe & Central Asia
Saint Vincent and the Grenadines,America
Equatorial Guinea,Sub-Saharan Africa
Yemen,Middle East & North Africa
Fiji,East Asia & Pacific
Belgium,Europe & Central Asia
Saint Lucia,America
Estonia,Europe & Central Asia
South Africa,Sub-Saharan Africa
Kazakhstan,Europe & Central Asia
Suriname,America
Zambia,Sub-Saharan Africa
Sweden,Europe & Central Asia
Finland,Europe & Central Asia
Sao Tome and Principe,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Tunisia,Middle East & North Africa
Syria,Middle East & North Africa
Paraguay,America
Uzbekistan,Europe & Central Asia
Niger,Sub-Saharan Africa
Turkey,Europe & Central Asia
Lithuania,Europe & Central Asia
Brazil,America
Denmark,Europe & Central Asia
Liberia,Sub-Saharan Africa
Puerto Rico,America
Lesotho,Sub-Saharan Africa
Turkmenistan,Europe & Central Asia
Mauritania,Sub-Saharan Africa
Chile,America